county,status,date,caseId,parcelId,address,appraisedValue,openingBid,requiredDeposit,amountSoldFor,soldTo,link
"LORAIN, 44053",01/11/2023 10:00 AM ET,01/11/2023,17CV191751,02-02-012-114-039,3961 WOODWORTH DRIVE,"$297,000.00","$198,000.00","$10,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"LORAIN, 44052",01/11/2023 10:00 AM ET,01/11/2023,19CV199031,02-01-006-113-020,1121 WEST 6TH STREET,"$72,000.00","$48,000.00","$5,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"NORTH RIDGEVILLE, 44039",01/11/2023 10:00 AM ET,01/11/2023,21CV204453,07-00-042-113-022,38232 OVERLOOK COURT,"$261,000.00","$174,000.00","$10,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"AVON, 44011",01/11/2023 10:00 AM ET,01/11/2023,21CV204549,04-00-022-801-085,2816 SHAKESPEARE LANE,"$204,000.00","$136,000.00","$10,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"SHEFFIELD LAKE, 44054",01/11/2023 10:00 AM ET,01/11/2023,21CV204726,03-00-029-104-011,4284 BELLE AVENUE,"$93,000.00","$62,000.00","$5,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"AMHERST, 44001",01/11/2023 10:00 AM ET,01/11/2023,22CV205072,05-00-058-000-321,872 MOSS CANYON DRIVE,"$195,000.00","$130,000.00","$5,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"LORAIN, 44053",01/11/2023 10:00 AM ET,01/11/2023,22CV205205,05-00-001-000-291,6995 STAG HORN LANE,"$321,000.00","$214,000.00","$10,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"NORTH RIDGEVILLE, 44039",01/11/2023 10:00 AM ET,01/11/2023,22CV205210,MULTIPLE,6103 ROSEBELLE AVENUE,"$171,000.00","$114,000.00","$5,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"LORAIN, 44053",01/11/2023 10:00 AM ET,01/11/2023,22CV205486,05-00-001-000-114,6062 WHITE TAIL LANE,"$315,000.00","$210,000.00","$10,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"OBERLIN, 44074",01/11/2023 10:00 AM ET,01/11/2023,22CV205499,09-00-086-109-029,263 EAST LORAIN STREET,"$90,000.00","$60,000.00","$5,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
"LORAIN, 44055",Canceled,01/11/2023,22CV205053,03-00-098-122-032,3242 ELYRIA AVENUE,"$36,000.00","$24,000.00","$5,000.00",,,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=01/11/2023
